,Speed limit (20km/h),Speed limit (30km/h),Speed limit (50km/h),Speed limit (60km/h),Speed limit (70km/h),Speed limit (80km/h),End of speed limit (80km/h),Speed limit (100km/h),Speed limit (120km/h),No passing,No passing for vehicles over 3.5 metric tons,Right-of-way at the next intersection,Priority road,Yield,Stop,No vehicles,Vehicles over 3.5 metric tons prohibited,No entry,General caution,Dangerous curve to the left,Dangerous curve to the right,Double curve,Bumpy road,Slippery road,Road narrows on the right,Road work,Traffic signals,Pedestrians,Children crossing,Bicycles crossing,Beware of ice/snow,Wild animals crossing,End of all speed and passing limits,Turn right ahead,Turn left ahead,Ahead only,Go straight or right,Go straight or left,Keep right,Keep left,Roundabout mandatory,End of no passing,End of no passing by vehicles over 3.5 metric tons
precision,0.5,0.95,0.9833333333333333,0.9866666666666667,1.0,0.9809523809523809,1.0,0.9533333333333334,0.98,0.9933333333333333,1.0,0.9933333333333333,1.0,0.9916666666666667,0.9888888888888889,1.0,1.0,1.0,0.9833333333333333,1.0,0.8166666666666667,0.45,0.9,0.9333333333333333,0.4666666666666667,0.9333333333333333,0.9666666666666667,0.6666666666666666,1.0,0.9333333333333333,1.0,0.9777777777777777,0.9666666666666667,0.9777777777777777,0.9833333333333333,1.0,1.0,1.0,0.9952380952380953,1.0,0.8666666666666667,0.8,1.0
sensitivity,1.0,0.9661016949152542,0.9672131147540983,0.9866666666666667,0.8898305084745762,0.9626168224299065,1.0,0.9862068965517241,0.9607843137254902,1.0,0.9905660377358491,0.9371069182389937,0.995260663507109,0.9834710743801653,1.0,0.989010989010989,1.0,0.9917355371900827,0.9291338582677166,0.9375,0.9423076923076923,1.0,1.0,0.7368421052631579,0.7,0.9722222222222222,0.8923076923076924,0.9523809523809523,0.8955223880597015,0.7777777777777778,0.9090909090909091,0.967032967032967,0.8285714285714286,1.0,0.9833333333333333,0.9836065573770492,1.0,1.0,0.9858490566037735,0.967741935483871,1.0,0.96,1.0
specificity,0.9965870307167235,0.9971250598945856,0.9990398463754201,0.9995305164319249,1.0,0.9990467111534795,1.0,0.9983587338804221,0.9992952783650458,0.9997653133067355,1.0,0.9997647612326511,1.0,0.9995201535508638,0.9997685720897941,1.0,1.0,1.0,0.999533037590474,1.0,0.997475906379073,0.9924709103353867,0.9986225895316805,0.9990770650669127,0.9963553530751709,0.9976558837318331,0.9995397008055236,0.9977215766689451,1.0,0.9995427526291724,1.0,0.9995369298448715,0.9997714285714285,0.999537251272559,0.9997701149425288,1.0,1.0,1.0,0.9997617913292044,1.0,0.9981642955484167,0.9986316989737742,1.0
f1_score,0.6666666666666666,0.957983193277311,0.9752066115702478,0.9866666666666668,0.9417040358744395,0.9716981132075471,1.0,0.9694915254237289,0.9702970297029702,0.9966555183946488,0.9952606635071091,0.9644012944983819,0.997624703087886,0.9875518672199171,0.9944134078212291,0.994475138121547,1.0,0.995850622406639,0.9554655870445343,0.967741935483871,0.8749999999999999,0.6206896551724138,0.9473684210526316,0.8235294117647058,0.56,0.9523809523809524,0.928,0.7843137254901961,0.9448818897637796,0.8484848484848485,0.9523809523809523,0.9723756906077348,0.8923076923076922,0.9887640449438202,0.9833333333333333,0.9917355371900827,1.0,1.0,0.9905213270142179,0.9836065573770492,0.9285714285714286,0.8727272727272728,1.0
